ID,InvestorID,Date,Type,Amount,NAV,UnitsChange
1,1,2024-01-16 00:00:00.000000,Nạp,100000000.0,100000000,100000.0
2,0,2024-03-31 00:00:00.000000,NAV Update,0.0,105000000,0.0
3,0,2024-06-29 00:00:00.000000,NAV Update,0.0,112000000,0.0
4,0,2024-09-27 00:00:00.000000,NAV Update,0.0,118000000,0.0
5,2,2024-06-29 00:00:00.000000,Nạp,50000000.0,162000000,44642.857142857145
6,3,2024-08-28 00:00:00.000000,Nạp,75000000.0,237000000,66964.28571428572
7,0,2024-12-31 15:00:00.000000,NAV Update,0.0,250000000,0.0
8,0,2025-01-06 00:00:00.000000,NAV Update,0.0,250000000,0.0
9,4,2025-01-31 00:00:00.000000,Nạp,30000000.0,280000000,25392.857142857145
10,0,2025-04-01 00:00:00.000000,NAV Update,0.0,275000000,0.0
11,0,2025-05-01 00:00:00.000000,NAV Update,0.0,290000000,0.0
12,0,2025-06-30 00:00:00.000000,NAV Update,0.0,310000000,0.0
13,0,2025-08-29 00:00:00.000000,NAV Update,0.0,320000000,0.0
14,2,2025-07-20 00:00:00.000000,Rút,-15000000.0,305000000,-11109.375
15,0,2025-12-31 15:00:00.000000,NAV Update,0.0,330000000,0.0
16,0,2025-08-20 21:39:25.112725,NAV Update,0.0,350000000,0.0
