ID,InvestorID,Date,Type,Amount,NAV,UnitsChange
1,0,2024-01-01,NAV Update,0.0,1000000000.0,0.0
2,1,2024-01-15,Nạp,200000000.0,1200000000.0,200000.0
3,2,2024-02-01,Nạp,300000000.0,1500000000.0,50000.0
4,0,2024-06-30,NAV Update,0.0,1650000000.0000002,0.0
5,3,2024-07-05,Nạp,150000000.0,1800000000.0000002,22727.272727272724
6,0,2024-10-14,NAV Update,0.0,1890000000.0000002,0.0
7,1,2024-10-15,Rút,-50000000.0,1840000000.0000002,-7215.007215007213
8,1,2024-12-31,Phí,-21376000.0,1987200000.0000005,-2856.0739671850774
9,0,2024-12-31,Phí Nhận,21376000.0,1987200000.0000005,2856.0739671850774
10,2,2024-12-31,Phí,-5544000.0,1987200000.0000005,-740.7407407407405
11,0,2024-12-31,Phí Nhận,5544000.0,1987200000.0000005,740.7407407407405
12,3,2024-12-31,Phí,-2520000.0,1987200000.0000005,-336.7003367003366
13,0,2024-12-31,Phí Nhận,2520000.0,1987200000.0000005,336.7003367003366
